市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1554,横浜市立蒔田小学校　体育館,神奈川県横浜市南区蒔田町1020,1,,1,1,,,,,1,35.425651,139.613418,
14100,神奈川県横浜市,1555,横浜市立蒔田小学校　校舎９－１,神奈川県横浜市南区蒔田町1020,1,,1,1,,,,,1,35.42566,139.613483,
14100,神奈川県横浜市,1556,横浜市立藤の木小学校　校舎２１－１,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.411913,139.604853,
14100,神奈川県横浜市,1557,横浜市立藤の木小学校　校舎１,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.412709,139.605068,
14100,神奈川県横浜市,1558,横浜市立藤の木小学校　校舎２,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.412425,139.604966,
14100,神奈川県横浜市,1559,横浜市立藤の木小学校　校舎５－１,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.412049,139.604488,
14100,神奈川県横浜市,1560,横浜市立藤の木小学校　体育館,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.412045,139.604397,
14100,神奈川県横浜市,1561,横浜市立藤の木小学校　校舎１８,神奈川県横浜市南区大岡4-10-1,1,1,1,1,,,,,1,35.412044,139.604242,
14100,神奈川県横浜市,1562,横浜市立藤の木中学校　校舎１３,神奈川県横浜市南区大岡4-44-1,1,1,1,1,,,,,1,35.410273,139.606183,
14100,神奈川県横浜市,1563,横浜市立藤の木中学校　校舎１－１,神奈川県横浜市南区大岡4-44-1,1,1,1,1,,,,,1,35.410614,139.606022,
14100,神奈川県横浜市,1564,横浜市立藤の木中学校　体育館,神奈川県横浜市南区大岡4-44-1,1,,1,1,,,,,1,35.41064,139.606602,
14100,神奈川県横浜市,1565,横浜市立藤の木中学校　校舎１４,神奈川県横浜市南区大岡4-44-1,1,1,1,1,,,,,1,35.410242,139.606382,
14100,神奈川県横浜市,1566,横浜市立大岡小学校　校舎１４－４,神奈川県横浜市南区大橋町3-49,,1,1,1,,,,,1,35.426203,139.600594,
14100,神奈川県横浜市,1567,横浜市立大岡小学校　校舎１４－１（２階以上）,神奈川県横浜市南区大橋町3-49,1,1,1,1,,,,,1,35.425931,139.600262,
14100,神奈川県横浜市,1568,横浜市立大岡小学校　体育館,神奈川県横浜市南区大橋町3-49,,1,,1,,,,,1,35.426203,139.600594,
14100,神奈川県横浜市,1569,横浜市立大岡小学校　校舎１４－１,神奈川県横浜市南区大橋町3-49,1,1,1,1,,,,,1,35.425962,139.60083,
14100,神奈川県横浜市,1570,横浜市立大岡小学校　校舎１４－４（２階以上）,神奈川県横浜市南区大橋町3-49,1,1,,1,,,,,1,35.425922,139.600343,
14100,神奈川県横浜市,1571,横浜市立石川小学校　校舎１７,神奈川県横浜市南区中村町1-66,1,,1,1,,,,,1,35.43419,139.635772,
14100,神奈川県横浜市,1572,横浜市立石川小学校　体育館,神奈川県横浜市南区中村町1-66,1,1,1,1,,,,,1,35.434513,139.635981,
14100,神奈川県横浜市,1573,横浜市立中村小学校　体育館,神奈川県横浜市南区中村町4-269-1,1,1,1,1,,,,,1,35.432382,139.625938,
14100,神奈川県横浜市,1574,横浜市立中村小学校　校舎３,神奈川県横浜市南区中村町4-269-1,1,1,1,1,,,,,1,35.432495,139.62553,
14100,神奈川県横浜市,1575,横浜市立中村小学校　校舎９－１,神奈川県横浜市南区中村町4-269-1,1,1,1,1,,,,,1,35.432941,139.625783,
